,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
96509814,Alquiler de Piso en calle de Blasco de Garay,"El Poble Sec - Parc de Montjuïc, Barcelona",1500,60,1,1,0,0,segunda mano/buen estado,,0,0,0,0,0,0,1,08004,2022-02-09
96629593,Alquiler de Piso en calle de Blai,"El Poble Sec - Parc de Montjuïc, Barcelona",1200,72,2,2,1,1,segunda mano/buen estado,1880,1,1,1,1,1,1,1,08004,2022-02-09
94306530,Alquiler de Chalet adosado en calle de la Font Florida,"La Font de la Guatlla, Barcelona",5900,240,4,3,1,1,segunda mano/buen estado,,1,1,1,0,1,0,0,08004,2022-02-09
81983352,Alquiler de Piso en El Poble Sec - Parc de Montjuïc,"Sants-Montjuïc, Barcelona",800,36,1,1,0,0,segunda mano/buen estado,,0,0,0,3,0,1,1,08004,2022-02-09
84615470,"Alquiler de Piso en calle d'Elkano, Barcelona, 34","El Poble Sec - Parc de Montjuïc, Barcelona",890,70,2,1,0,0,segunda mano/buen estado,1970,1,1,1,0,1,1,1,08004,2022-02-09
83246587,Alquiler de Ático en Piquer,"El Poble Sec - Parc de Montjuïc, Barcelona",1050,50,0,1,1,1,segunda mano/buen estado,,1,0,0,4,1,1,1,08004,2022-02-09
94957217,Alquiler de Piso en Gran Via de les Corts Catalanes,"La Font de la Guatlla, Barcelona",950,76,3,2,0,0,segunda mano/buen estado,1936,0,1,0,7,1,1,1,08004,2022-02-09
85738981,Alquiler de Piso en calle del Roser,"El Poble Sec - Parc de Montjuïc, Barcelona",875,35,1,1,0,1,segunda mano/buen estado,,0,1,1,4,1,0,0,08004,2022-02-09
96318285,Alquiler de Piso en Avenue Parallèle,"El Poble Sec - Parc de Montjuïc, Barcelona",1450,130,5,2,0,1,segunda mano/buen estado,,0,1,1,1,0,1,1,08004,2022-02-09
96609686,Alquiler de Piso en calle de Grases,"El Poble Sec - Parc de Montjuïc, Barcelona",1175,62,1,1,1,1,segunda mano/buen estado,,1,0,0,2,1,1,1,08004,2022-02-09
96675021,"Alquiler de Piso en Teodor Bonaplata, 8","El Poble Sec - Parc de Montjuïc, Barcelona",990,75,1,1,0,0,segunda mano/buen estado,,1,1,0,5,0,1,1,08004,2022-02-09
